Time;X;Y;Z
0.0002;-143.2552;-120.7552;74.2560
0.1007;-143.2620;-120.7537;74.2560
0.2011;-143.2552;-120.7552;74.2560
0.3016;-143.2552;-120.7552;74.2560
0.4021;-143.2620;-120.7537;74.2560
0.5030;-143.2552;-120.7552;74.2560
0.6036;-143.2620;-120.7537;74.2560
0.7042;-143.2545;-120.7552;74.2521
0.8047;-143.2425;-120.7552;74.3176
0.9051;-143.2175;-120.7552;74.4544
1.0058;-143.1814;-120.7551;74.6525
1.1067;-143.1053;-120.7551;75.0736
1.2071;-143.0404;-120.7551;75.4370
1.3077;-142.9644;-120.7551;75.8668
1.4081;-142.8779;-120.7551;76.3629
1.5086;-142.7812;-120.7550;76.9254
1.6090;-142.6183;-120.7550;77.8942
1.7095;-142.4986;-120.7549;78.6235
1.8100;-142.3710;-120.7549;79.4198
1.9104;-142.2360;-120.7549;80.2832
2.0291;-142.0218;-120.7548;81.7044
2.1296;-141.9476;-120.7548;82.2119
2.2301;-141.7959;-120.7547;83.2777
2.3307;-141.6405;-120.7547;84.4112
2.4311;-141.4029;-120.7546;86.2391
2.5316;-141.2431;-120.7546;87.5430
2.6320;-141.0837;-120.7545;88.9154
2.7327;-140.9258;-120.7545;90.3565
2.8331;-140.7709;-120.7544;91.8665
2.9335;-140.6204;-120.7544;93.4455
3.0339;-140.4061;-120.7543;95.9440
3.1343;-140.2732;-120.7543;97.6965
3.2357;-140.1501;-120.7542;99.5187
3.3361;-140.0388;-120.7542;101.4058
3.4366;-139.8969;-120.7542;104.3798
3.5372;-139.8224;-120.7541;106.4395
3.6377;-139.7656;-120.7541;108.5830
3.7381;-139.7292;-120.7541;110.7914
3.8386;-139.7153;-120.7541;113.0682
3.9391;-139.7247;-120.7540;115.4173
4.0395;-139.7905;-120.7540;119.0703
4.1399;-139.8707;-120.7540;121.5946
4.2403;-139.9229;-120.7540;122.8826
4.3408;-140.0528;-120.7540;125.5111
4.4412;-140.2187;-120.7541;128.2093
4.5418;-140.3160;-120.7541;129.5845
4.6422;-140.5406;-120.7541;132.3870
4.7427;-140.6687;-120.7541;133.8141
4.8431;-140.8077;-120.7541;135.2585
4.9436;-140.9580;-120.7542;136.7201
5.0440;-141.2939;-120.7542;139.6946
5.1537;-141.6789;-120.7543;142.7371
5.2546;-141.8908;-120.7543;144.2837
5.3552;-142.3551;-120.7544;147.4274
5.4559;-142.8759;-120.7545;150.6377
5.5565;-143.4557;-120.7546;153.9117
5.6633;-144.4447;-120.7547;158.9505
5.7637;-145.1801;-120.7549;162.3577
5.8890;-146.3805;-120.7551;167.4505
5.9894;-146.8074;-120.7551;169.1464
6.0899;-147.7006;-120.7553;172.5335
6.1903;-148.6467;-120.7554;175.9137
6.2907;-149.6452;-120.7557;179.2863
6.3911;-150.6952;-120.7563;182.6507
6.4917;-151.7762;-120.7636;186.0062
6.5932;-152.9555;-120.7566;189.3520
6.6937;-154.1639;-120.7569;192.6877
6.7941;-155.4232;-120.7577;196.0124
6.9115;-157.4548;-120.7423;200.9776
7.0119;-158.8032;-120.7582;204.2721
7.1277;-161.0289;-120.7413;209.1889
7.2281;-162.5488;-120.7409;212.4491
7.3286;-164.1201;-120.7404;215.6944
7.4289;-165.7427;-120.7399;218.9242
7.5293;-167.3709;-120.7607;222.1378
7.6301;-169.0948;-120.7611;225.3345
7.7308;-170.8694;-120.7616;228.5137
7.8559;-173.6256;-120.7623;233.2483
7.9564;-175.5257;-120.7629;236.3810
8.0753;-178.4694;-120.7637;241.0428
8.1758;-180.4937;-120.7643;244.1249
8.2992;-183.6226;-120.7652;248.7078
8.3996;-185.7696;-120.7658;251.7354
8.5000;-187.9634;-120.7678;254.7400
8.6005;-190.2581;-120.7328;257.7211
8.7010;-192.4788;-120.7845;260.6781
8.8016;-194.8400;-120.7699;263.6103
8.9020;-197.2790;-120.7306;266.5171
9.0033;-200.9493;-120.7294;270.8284
9.1038;-203.3830;-120.7889;273.6691
9.2044;-205.9542;-120.7732;276.4823
9.3048;-208.6046;-120.7269;279.2674
9.4052;-211.1767;-120.7920;282.0238
9.5067;-215.2274;-120.7937;286.1033
9.6071;-216.6720;-120.7240;287.4482
9.7191;-220.8573;-120.7225;291.4368
9.8197;-223.6309;-120.7970;294.0568
9.9201;-226.5370;-120.7795;296.6447
10.0211;-229.5251;-120.7192;299.2007
10.1216;-232.4301;-120.8004;301.7241
10.2222;-235.4636;-120.7823;304.2125
10.3234;-240.0717;-120.7838;307.8829
10.4239;-243.2518;-120.7137;310.2857
10.5250;-246.3439;-120.8057;312.6532
10.6262;-249.5648;-120.7869;314.9846
10.7266;-252.8686;-120.7096;317.2795
10.8274;-257.8128;-120.7074;320.6522
10.9283;-261.0847;-120.8113;322.8534
11.0288;-264.4829;-120.7918;325.0164
11.1292;-267.9650;-120.7029;327.1405
11.2300;-271.3517;-120.8152;329.2252
11.3304;-276.6124;-120.8171;332.2775
11.4309;-280.1787;-120.7972;334.2618
11.5313;-283.8278;-120.6953;336.2041
11.6318;-287.3783;-120.8211;338.1057
11.7323;-291.0531;-120.8009;339.9662
11.8327;-294.8109;-120.6898;341.7832
11.9331;-298.4542;-120.8427;343.5568
12.0480;-304.1115;-120.8457;346.1368
12.1485;-307.9268;-120.8473;347.8027
12.2642;-313.7066;-120.8498;350.2165
12.3647;-317.5999;-120.8515;351.7696
12.4657;-321.5243;-120.8531;353.2771
12.5661;-325.4793;-120.8548;354.7387
12.6667;-329.4644;-120.8565;356.1540
12.7672;-333.4788;-120.8581;357.5225
12.8676;-339.5548;-120.8606;359.4868
12.9681;-343.6406;-120.8623;360.7368
13.0684;-347.7538;-120.8639;361.9387
13.1801;-354.0592;-120.6628;363.6506
13.2806;-358.1514;-120.8736;364.7307
13.3811;-360.2503;-120.8756;365.2522
13.4816;-364.5495;-120.6732;366.2582
13.5820;-370.9215;-120.6709;367.6735
13.6896;-375.1993;-120.6694;368.5542
13.7900;-379.5002;-120.6679;369.3842
13.9228;-385.9934;-120.6656;370.5335
14.0233;-390.3492;-120.6640;371.2355
14.1238;-394.7261;-120.6625;371.8857
14.2242;-399.1232;-120.6609;372.4838
14.3247;-403.5400;-120.6593;373.0297
14.4250;-410.2008;-120.6570;373.7497
14.5254;-414.6641;-120.6554;374.1636
14.6421;-419.1449;-120.6538;374.5242
14.7427;-423.6425;-120.6522;374.8313
14.8432;-428.1564;-120.6506;375.0846
14.9437;-432.6857;-120.6490;375.2840
15.0441;-437.2300;-120.6473;375.4292
15.1446;-441.7886;-120.6457;375.5200
15.2453;-446.3607;-120.6441;375.5561
15.3458;-453.2430;-120.6416;375.5075
15.4463;-457.8463;-120.6400;375.4062
15.5467;-462.4609;-120.6383;375.2496
15.6472;-467.0861;-120.6367;375.0376
15.7477;-471.7212;-120.6350;374.7699
15.8483;-476.3657;-120.6334;374.4464
15.9490;-483.3483;-120.6309;373.8563
16.0495;-488.0131;-120.6292;373.3927
16.1499;-492.6848;-120.6275;372.8728
16.2667;-499.7039;-120.6250;371.9872
16.3688;-502.0463;-120.6242;371.6638
16.4694;-506.7347;-120.6225;370.9744
16.5701;-513.7751;-120.6200;369.8339
16.6706;-518.4728;-120.6184;369.0025
16.7710;-523.1730;-120.6167;368.1142
16.8714;-527.8750;-120.6151;367.1689
16.9982;-534.9300;-120.6126;365.6440
17.0987;-539.6337;-120.6109;364.5560
17.2230;-546.6878;-120.6084;362.8168
17.3238;-549.0384;-120.6076;362.2084
17.4243;-556.0872;-120.6051;360.2976
17.5248;-560.7828;-120.6035;358.9521
17.6252;-565.4747;-120.6018;357.5494
17.7257;-570.1622;-120.6002;356.0895
17.8261;-574.8447;-120.5985;354.5724
17.9330;-581.8574;-120.5961;352.1894
18.0333;-586.5242;-120.5945;350.5293
18.1337;-591.1835;-120.5929;348.8121
18.2341;-595.8347;-120.5912;347.0379
18.3349;-600.4770;-120.5896;345.2066
18.4355;-607.4224;-120.5872;342.3531
18.5361;-612.0396;-120.5857;340.3797
18.6367;-616.6455;-120.5841;338.3496
18.7373;-621.2395;-120.5825;336.2628
18.8439;-628.1066;-120.5801;333.0268
18.9443;-632.6678;-120.5786;330.7990
19.0694;-639.4824;-120.5763;327.3519
19.1698;-644.0065;-120.5747;324.9838
19.2726;-648.5145;-120.5732;322.5598
19.3733;-653.0059;-120.5717;320.0801
19.4738;-657.4799;-120.5702;317.5449
19.5742;-661.9358;-120.5687;314.9543
19.6747;-666.3730;-120.5672;312.3085
19.7751;-668.5844;-120.5665;310.9649
19.8756;-672.9923;-120.5650;308.2367
19.9761;-675.1887;-120.5642;306.8520
20.0766;-679.5658;-120.5628;304.0417
20.1822;-683.9215;-120.5613;301.1771
20.2838;-686.0912;-120.5606;299.7244
20.3842;-688.2553;-120.5599;298.2582
20.5151;-694.7131;-120.5578;293.7789
20.6156;-698.9889;-120.5564;290.7256
20.7161;-703.2404;-120.5550;287.6189
20.8166;-707.4669;-120.5536;284.4591
20.9171;-711.6679;-120.5522;281.2465
21.0177;-715.8426;-120.5508;277.9813
21.1186;-722.0540;-120.5488;272.9856
21.2192;-726.1604;-120.5475;269.5902
21.3196;-730.2382;-120.5461;266.1433
21.4460;-736.3003;-120.5442;260.8768
21.5464;-740.3044;-120.5429;257.3023
21.6470;-744.2778;-120.5416;253.6772
21.7474;-748.2199;-120.5403;250.0021
21.8479;-752.1302;-120.5391;246.2771
21.9483;-756.0081;-120.5378;242.5027
22.0487;-759.8529;-120.5366;238.6791
22.1493;-765.5569;-120.5347;232.8525
22.2498;-769.2917;-120.5335;228.9341
22.3610;-774.6810;-120.5318;223.1298
22.4618;-776.4253;-120.5313;221.2120
22.5628;-779.8349;-120.5302;217.4063
22.6633;-784.7547;-120.5286;211.7779
22.7638;-787.9071;-120.5276;208.0833
22.8643;-790.9595;-120.5266;204.4380
22.9661;-795.3540;-120.5251;199.0682
23.0680;-798.1633;-120.5242;195.5574
23.1684;-800.8782;-120.5233;192.1047
23.2689;-803.5004;-120.5225;188.7124
23.3696;-806.0315;-120.5216;185.3828
23.4700;-808.4731;-120.5208;182.1180
23.5737;-810.8267;-120.5201;178.9201
23.6741;-814.1958;-120.5189;174.2532
23.7748;-816.3366;-120.5182;171.2312
23.8752;-818.3948;-120.5175;168.2829
23.9792;-821.3309;-120.5165;164.0022
24.0797;-823.1895;-120.5159;161.2453
24.1802;-824.9709;-120.5153;158.5678
24.2808;-826.6764;-120.5147;155.9712
24.3812;-828.3073;-120.5142;153.4569
24.4818;-830.6169;-120.5134;149.8427
24.5826;-831.3510;-120.5131;148.6806
24.6830;-833.4479;-120.5124;145.3242
24.7834;-834.7596;-120.5119;143.1962
24.8838;-836.0036;-120.5115;141.1573
24.9843;-837.1812;-120.5110;139.2085
25.0848;-838.2934;-120.5106;137.3507
25.1852;-839.3412;-120.5103;135.5849
25.2857;-840.7943;-120.5097;133.1105
25.3867;-841.6853;-120.5094;131.5782
25.4870;-842.1078;-120.5093;130.8476
25.5874;-842.9073;-120.5090;129.4577
25.6879;-843.6469;-120.5087;128.1635
25.7883;-844.3273;-120.5084;126.9656
25.8978;-845.2382;-120.5081;125.3507
25.9981;-845.7732;-120.5079;124.3960
26.0986;-846.2512;-120.5077;123.5394
26.1990;-846.6726;-120.5076;122.7812
26.2994;-847.0377;-120.5074;122.1219
26.4000;-847.4810;-120.5073;121.3187
26.5008;-847.7072;-120.5072;120.9075
26.6013;-847.8783;-120.5071;120.5959
26.7017;-847.9944;-120.5071;120.3841
26.8021;-848.0659;-120.5070;120.2536
26.9026;-848.0663;-120.5070;120.2529
27.0030;-848.0663;-120.5070;120.2529
27.1217;-848.0663;-120.5070;120.2529
27.2221;-848.0663;-120.5070;120.2529
27.3226;-848.0663;-120.5070;120.2529
27.4230;-848.0663;-120.5070;120.2529
27.5236;-848.0663;-120.5070;120.2529
27.6242;-848.0663;-120.5070;120.2529
27.7246;-848.0663;-120.5070;120.2529
27.8251;-848.0663;-120.5070;120.2529
27.9259;-848.0663;-120.5070;120.2529
28.0264;-848.0663;-120.5070;120.2529
28.1277;-848.0663;-120.5070;120.2529
28.2281;-848.0663;-120.5070;120.2529
28.3286;-848.0663;-120.5070;120.2529
28.4290;-848.0663;-120.5070;120.2529
28.5294;-848.0663;-120.5070;120.2529
28.6299;-848.0663;-120.5070;120.2529
28.7304;-848.0663;-120.5070;120.2529
28.8309;-848.0663;-120.5070;120.2529
28.9313;-848.0663;-120.5070;120.2529
29.0318;-848.0663;-120.5070;120.2529
29.1322;-848.0663;-120.5070;120.2529
29.2326;-848.0663;-120.5070;120.2529
29.3520;-848.0663;-120.5070;120.2529
29.4526;-848.0663;-120.5070;120.2529
29.5530;-848.0663;-120.5070;120.2529
29.6547;-848.0663;-120.5070;120.2529
29.7551;-848.0663;-120.5070;120.2529
29.8901;-848.0663;-120.5070;120.2529
29.9906;-848.0663;-120.5070;120.2529
30.0910;-848.0663;-120.5070;120.2529
30.1928;-848.0663;-120.5070;120.2529
30.2942;-848.0663;-120.5070;120.2529
30.3951;-848.0663;-120.5070;120.2529
30.4954;-848.0663;-120.5070;120.2529
30.5959;-848.0663;-120.5070;120.2529
30.6963;-848.0663;-120.5070;120.2529
30.7968;-848.0663;-120.5070;120.2529
30.8981;-848.0663;-120.5070;120.2529
31.0045;-848.0663;-120.5070;120.2529
31.1056;-848.0663;-120.5070;120.2529
