Time;X;Y;Z
0.0001;-139.5506;-120.6151;71.0211
0.1002;-139.5506;-120.6151;71.0211
0.2003;-139.5506;-120.6151;71.0211
0.3005;-139.5506;-120.6151;71.0211
0.4006;-139.5506;-120.6151;71.0211
0.5007;-139.5506;-120.6151;71.0211
0.6009;-139.5506;-120.6151;71.0211
0.7011;-139.5506;-120.6151;71.0211
0.8012;-139.5506;-120.6151;71.0211
0.9014;-139.5506;-120.6151;71.0211
1.0016;-139.5506;-120.6151;71.0211
1.1017;-139.5506;-120.6151;71.0211
1.2024;-139.5506;-120.6151;71.0211
1.3030;-139.5506;-120.6151;71.0211
1.4037;-139.5506;-120.6151;71.0211
1.5045;-139.5506;-120.6151;71.0211
1.6053;-139.5506;-120.6151;71.0211
1.7060;-139.5506;-120.6151;71.0211
1.8062;-139.5506;-120.6151;71.0211
1.9075;-139.5506;-120.6151;71.0211
2.0081;-139.5506;-120.6151;71.0211
2.1090;-139.5506;-120.6151;71.0211
2.2095;-139.5506;-120.6151;71.0211
2.3100;-139.5506;-120.6151;71.0211
2.4109;-139.5506;-120.6151;71.0211
2.5118;-139.5506;-120.6151;71.0211
2.6125;-139.5506;-120.6151;71.0211
2.7135;-139.5506;-120.6151;71.0211
2.8137;-139.5506;-120.6151;71.0211
2.9138;-139.5506;-120.6151;71.0211
3.0146;-139.5506;-120.6151;71.0211
3.1151;-139.5506;-120.6151;71.0211
3.2160;-139.5506;-120.6151;71.0211
3.3161;-139.5506;-120.6151;71.0211
3.4169;-139.5506;-120.6151;71.0211
3.5177;-139.5506;-120.6151;71.0211
3.6187;-139.5506;-120.6151;71.0211
3.7193;-139.5506;-120.6151;71.0211
3.8201;-139.5506;-120.6151;71.0211
3.9202;-139.5506;-120.6151;71.0211
4.0209;-139.5506;-120.6151;71.0211
4.1211;-139.5506;-120.6151;71.0211
4.2224;-139.5506;-120.6151;71.0211
4.3231;-139.5506;-120.6151;71.0211
4.4235;-139.5506;-120.6151;71.0211
4.5249;-139.5506;-120.6151;71.0211
4.6268;-139.5506;-120.6151;71.0211
4.7270;-139.5506;-120.6151;71.0211
4.8277;-139.5506;-120.6151;71.0211
4.9283;-139.5506;-120.6151;71.0211
